indice_tiempo,industria
1996-01-01,722.624
1996-02-01,714.512
1996-03-01,791.862
1996-04-01,773.839
1996-05-01,769.583
1996-06-01,756.43
1996-07-01,788.462
1996-08-01,810.03
1996-09-01,842.01
1996-10-01,836.331
1996-11-01,777.141
1996-12-01,768.437
1997-01-01,740.831
1997-02-01,716.437
1997-03-01,728.017
1997-04-01,817.889
1997-05-01,851.391
1997-06-01,857.247
1997-07-01,876.988
1997-08-01,839.851
1997-09-01,837.519
1997-10-01,906.162
1997-11-01,785.258
1997-12-01,784.972
1998-01-01,774.896
1998-02-01,721.503
1998-03-01,836.458
1998-04-01,843.292
1998-05-01,913.951
1998-06-01,905.998
1998-07-01,903.831
1998-08-01,890.481
1998-09-01,801.186
1998-10-01,814.229
1998-11-01,773.609
1998-12-01,730.185
1999-01-01,692.048
1999-02-01,672.614
1999-03-01,807.129
1999-04-01,819.874
1999-05-01,855.477
1999-06-01,816.873
1999-07-01,844.626
1999-08-01,888.033
1999-09-01,876.269
1999-10-01,884.251
1999-11-01,819.255
1999-12-01,800.183
2000-01-01,753.263
2000-02-01,743.015
2000-03-01,838.858
2000-04-01,819.601
2000-05-01,881.79
2000-06-01,814.916
2000-07-01,801.668
2000-08-01,907.998
2000-09-01,861.937
2000-10-01,898.068
2000-11-01,829.015
2000-12-01,814.656
2001-01-01,766.806
2001-02-01,713.657
2001-03-01,840.237
2001-04-01,834.467
2001-05-01,847.35
2001-06-01,784.406
2001-07-01,813.424
2001-08-01,868.334
2001-09-01,833.169
2001-10-01,820.862
2001-11-01,780.546
2001-12-01,723.354
2002-01-01,645.155
2002-02-01,710.104
2002-03-01,823.503
2002-04-01,866.256
2002-05-01,917.104
2002-06-01,828.123
2002-07-01,870.046
2002-08-01,879.18
2002-09-01,875.647
2002-10-01,788.295
2002-11-01,768.999
2002-12-01,824.847
2003-01-01,802.015
2003-02-01,780.404
2003-03-01,899.95
2003-04-01,920.152
2003-05-01,970.176
2003-06-01,864.247
2003-07-01,850.343
2003-08-01,872.517
2003-09-01,919.453
2003-10-01,948.988
2003-11-01,919.568
2003-12-01,935.058
2004-01-01,922.32
2004-02-01,938.992
2004-03-01,1007.806
2004-04-01,922.247
2004-05-01,904.3
2004-06-01,882.42
2004-07-01,853.78
2004-08-01,868.237
2004-09-01,965.1
2004-10-01,1028.057
2004-11-01,948.581
2004-12-01,984.245
2005-01-01,980.356
2005-02-01,861.635
2005-03-01,971.66
2005-04-01,991.557
2005-05-01,913.787
2005-06-01,873.411
2005-07-01,863.268
2005-08-01,919.957
2005-09-01,1019.933
2005-10-01,1065.255
2005-11-01,1034.666
2005-12-01,988.666
2006-01-01,1058.671
2006-02-01,978.408
2006-03-01,1088.205
2006-04-01,1033.891
2006-05-01,1033.839
2006-06-01,976.256
2006-07-01,999.924
2006-08-01,985.072
2006-09-01,1069.185
2006-10-01,1121.765
2006-11-01,1093.632
2006-12-01,1086.698
2007-01-01,1084.967
2007-02-01,1005.15
2007-03-01,1158.45
2007-04-01,1132.468
2007-05-01,1043.005
2007-06-01,771.74
2007-07-01,715.255
2007-08-01,791.418
2007-09-01,976.448
2007-10-01,1135.509
2007-11-01,1120.701
2007-12-01,1155.718
2008-01-01,1090.836
2008-02-01,1102.685
2008-03-01,1159.463
2008-04-01,1103.698
2008-05-01,971.319
2008-06-01,816.999
2008-07-01,890.725
2008-08-01,974.69
2008-09-01,1079.624
2008-10-01,1159.978
2008-11-01,1032.58
2008-12-01,988.193
2009-01-01,991.608
2009-02-01,949.442
2009-03-01,1063.334
2009-04-01,1034.624
2009-05-01,1008.892
2009-06-01,919.773
2009-07-01,849.759
2009-08-01,885.952
2009-09-01,979.521
2009-10-01,1056.426
2009-11-01,1007.509
2009-12-01,1058.052
2010-01-01,1062.4
2010-02-01,1028.576
2010-03-01,1097.121
2010-04-01,1029.878
2010-05-01,1085.608
2010-06-01,886.958
2010-07-01,731.545
2010-08-01,826.894
2010-09-01,1025.177
2010-10-01,1103.832
2010-11-01,1091.94
2010-12-01,1067.852
2011-01-01,1091.555
2011-02-01,1038.203
2011-03-01,1155.888
2011-04-01,1104.075
2011-05-01,1121.84
2011-06-01,868.912
2011-07-01,801.587
2011-08-01,889.276
2011-09-01,1103.173
2011-10-01,1186.351
2011-11-01,1068.633
2011-12-01,1082.214
2012-01-01,1046.301
2012-02-01,989.315
2012-03-01,1054.899
2012-04-01,1020.875
2012-05-01,1027.104
2012-06-01,814.485
2012-07-01,744.102
2012-08-01,864.704
2012-09-01,965.746
2012-10-01,1073.906
2012-11-01,1031.537
2012-12-01,1028.282
2013-01-01,1061.954
2013-02-01,970.621
2013-03-01,1115.484
2013-04-01,1114.318
2013-05-01,1084.288
2013-06-01,882.745
2013-07-01,825.815
2013-08-01,936.45
2013-09-01,988.462
2013-10-01,1125.036
2013-11-01,1153.778
2013-12-01,1132.408
2014-01-01,1079.28
2014-02-01,1010.489
2014-03-01,1178.265
2014-04-01,1117.067
2014-05-01,1103.203
2014-06-01,915.93
2014-07-01,882.477
2014-08-01,973.295
2014-09-01,1063.149
2014-10-01,1075.483
2014-11-01,1033.528
2014-12-01,1045.483
2015-01-01,1083.605
2015-02-01,949.384
2015-03-01,1119.969
2015-04-01,1137.331
2015-05-01,1113.978
2015-06-01,908.062
2015-07-01,962.642
2015-08-01,1001.233
2015-09-01,1036.244
2015-10-01,1181.94
2015-11-01,1099.744
2015-12-01,1038.308
2016-01-01,1058.429
2016-02-01,1026.774
2016-03-01,1077.307
2016-04-01,1030.114
2016-05-01,1059.591
2016-06-01,804.877
2016-07-01,975.668
2016-08-01,975.148
2016-09-01,977.256
2016-10-01,1043.888
2016-11-01,1035.42
2016-12-01,1019.76
2017-01-01,1002.12
2017-02-01,933.321
2017-03-01,1120.878
2017-04-01,1105.853
2017-05-01,1073.977
2017-06-01,990.719
2017-07-01,981.816
2017-08-01,998.344
2017-09-01,1030.883
2017-10-01,1129.982
2017-11-01,1087.381
2017-12-01,1060.581
2018-01-01,921.621
2018-02-01,931.97
2018-03-01,1087.876
2018-04-01,1066.707
2018-05-01,989.072
2018-06-01,895.369
2018-07-01,910.076
2018-08-01,948.009
2018-09-01,964.649
2018-10-01,1020.448
2018-11-01,943.899