indice_tiempo,temperatura_promedio
2001-01-01,25.432
2001-02-01,25.596
2001-03-01,22.852
2001-04-01,18.317
2001-05-01,14.306
2001-06-01,12.94
2001-07-01,11.542
2001-08-01,15.055
2001-09-01,14.69
2001-10-01,18.074
2001-11-01,20.007
2001-12-01,23.013
2002-01-01,24.903
2002-02-01,23.252
2002-03-01,22.18
2002-04-01,17.463
2002-05-01,16.432
2002-06-01,10.7
2002-07-01,11.469
2002-08-01,14.242
2002-09-01,14.787
2002-10-01,19.9
2002-11-01,21.39
2002-12-01,22.758
2003-01-01,23.81
2003-02-01,23.296
2003-03-01,22.403
2003-04-01,17.387
2003-05-01,15.284
2003-06-01,13.043
2003-07-01,11.081
2003-08-01,12.068
2003-09-01,14.623
2003-10-01,18.955
2003-11-01,20.303
2003-12-01,21.539
2004-01-01,25.071
2004-02-01,23.186
2004-03-01,23.555
2004-04-01,19.9
2004-05-01,13.3
2004-06-01,13.4
2004-07-01,12.4
2004-08-01,13.8
2004-09-01,16.1
2004-10-01,17.5
2004-11-01,19.8
2004-12-01,23.3
2005-01-01,25.872
2005-02-01,25.593
2005-03-01,21.237
2005-04-01,17.223
2005-05-01,14.939
2005-06-01,14.3
2005-07-01,12.4
2005-08-01,13
2005-09-01,14.3
2005-10-01,17.2
2005-11-01,22
2005-12-01,22.3
2006-01-01,24.6
2006-02-01,24.3
2006-03-01,20.6
2006-04-01,19.1
2006-05-01,14.1
2006-06-01,13.2
2006-07-01,14.3
2006-08-01,12.4
2006-09-01,15.6
2006-10-01,19.8
2006-11-01,20.5
2006-12-01,24.4
2007-01-01,24.6
2007-02-01,24.6
2007-03-01,22.2
2007-04-01,18.8
2007-05-01,12.7
2007-06-01,10.9
2007-07-01,9.3
2007-08-01,10.1
2007-09-01,17
2007-10-01,19.2
2007-11-01,18.8
2007-12-01,23.6
2008-01-01,25.6
2008-02-01,25.3
2008-03-01,22.1
2008-04-01,19
2008-05-01,15.7
2008-06-01,11.8
2008-07-01,14.3
2008-08-01,13
2008-09-01,14.6
2008-10-01,18.1
2008-11-01,24.8
2008-12-01,24.3
2009-01-01,25.8
2009-02-01,24.6
2009-03-01,23.6
2009-04-01,19.6
2009-05-01,16.4
2009-06-01,11.6
2009-07-01,10.8
2009-08-01,15.6
2009-09-01,13.6
2009-10-01,17.7
2009-11-01,21.1
2009-12-01,22.6
2010-01-01,26.1
2010-02-01,24.2
2010-03-01,23.1
2010-04-01,17.2
2010-05-01,15.2
2010-06-01,12.5
2010-07-01,10.7
2010-08-01,11.9
2010-09-01,15.3
2010-10-01,17.2
2010-11-01,20.9
2010-12-01,22.5
2011-01-01,25.8
2011-02-01,24
2011-03-01,22.5
2011-04-01,18.9
2011-05-01,14.8
2011-06-01,12.1
2011-07-01,11.2
2011-08-01,11.5
2011-09-01,16.2
2011-10-01,17.3
2011-11-01,22.6
2011-12-01,22.9
2012-01-01,26.2
2012-02-01,24.8
2012-03-01,21.7
2012-04-01,18.1
2012-05-01,16.9
2012-06-01,12.2
2012-07-01,9.9
2012-08-01,13.7
2012-09-01,15.6
2012-10-01,18.3
2012-11-01,22.4
2012-12-01,24.5
2013-01-01,25.1
2013-02-01,24.1
2013-03-01,20.3
2013-04-01,19.1
2013-05-01,15
2013-06-01,12.8
2013-07-01,12
2013-08-01,12.7
2013-09-01,14.4
2013-10-01,18.5
2013-11-01,21.1
2013-12-01,27
2014-01-01,25.9
2014-02-01,23
2014-03-01,20.7
2014-04-01,18.3
2014-05-01,15
2014-06-01,12.4
2014-07-01,12.4
2014-08-01,15.3
2014-09-01,16
2014-10-01,20.2
2014-11-01,20.9
2014-12-01,23.4
2015-01-01,24.3
2015-02-01,24.7
2015-03-01,22.9
2015-04-01,20.6
2015-05-01,16.8
2015-06-01,13.5
2015-07-01,12.7
2015-08-01,15
2015-09-01,14.6
2015-10-01,15.9
2015-11-01,20.2
2015-12-01,24.8
2016-01-01,26.1
2016-02-01,26.1
2016-03-01,21.2
2016-04-01,17.3
2016-05-01,12.6
2016-06-01,10.6
2016-07-01,11
2016-08-01,13.8
2016-09-01,14.3
2016-10-01,17.8
2016-11-01,21.1
2016-12-01,25.3
2017-01-01,25.7
2017-02-01,25.4
2017-03-01,22.4
2017-04-01,18.9
2017-05-01,15.9
2017-06-01,13.7
2017-07-01,13.4
2017-08-01,15.2
2017-09-01,15.9
2017-10-01,18.2
2017-11-01,20.6
2017-12-01,24.7
2018-01-01,26.1
2018-02-01,25.2
2018-03-01,22.4
2018-04-01,22.1
2018-05-01,16.6
2018-06-01,11.3
2018-07-01,10.8
2018-08-01,12.4
2018-09-01,17.5
2018-10-01,17.8
2018-11-01,21.4
2018-12-01,22.4
2019-01-01,25